Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,20,666,"[0, 1, 10, 7, 18, 17, 14, 11, 4, 16, 3, 5, 13, 12, 9, 2, 19, 8, 15, 6, 0]",62.0,2,30.079995700041763
Branch and Bound,20,666,"[0, 1, 10, 7, 18, 17, 14, 11, 4, 16, 3, 5, 13, 12, 9, 2, 19, 8, 15, 6, 0]",62.0,3,29.92927459999919
Branch and Bound,20,666,"[0, 1, 10, 7, 18, 17, 14, 11, 4, 16, 3, 5, 13, 12, 9, 2, 19, 8, 15, 6, 0]",62.0,4,29.757697799999733
Branch and Bound,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,0,0.00013340002624318004
Branch and Bound,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,1,0.00011749996338039637
Branch and Bound,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,2,0.0001449999981559813
Branch and Bound,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,3,0.00011550000635907054
Branch and Bound,5,2137,"[0, 1, 3, 2, 4, 0]",64.0,4,0.00011259998427703977
Branch and Bound,10,2137,"[0, 1, 6, 3, 4, 9, 2, 7, 8, 5, 0]",65.0,0,0.014733300020452589
Branch and Bound,10,2137,"[0, 1, 6, 3, 4, 9, 2, 7, 8, 5, 0]",65.0,1,0.014487300009932369
